species,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,has_ltr_history,has_ltr_high_confidence,genome_size_pg,genome_size_se_pg,genome_result_status,genome_flag_summary,morph_cell_area_um2,morph_nucleus_area_um2,morph_nc_ratio,ltr_line_logratio,order_pielou,weighted_te_divergence_p90,weighted_te_deletions_p90,ectopic_log10_mean_ratio,ltr_history_median_k2p_distance,ltr_history_n_pairs_estimated,ltr_history_n_pairs_high_confidence,ltr_history_age_low_mya,ltr_history_age_central_mya,ltr_history_age_high_mya,ltr_history_source_id,ltr_history_calibration_source_id,ltr_history_rate_source_id,ltr_history_source_ids,body_size_proxy_mm,body_size_proxy_measurement,body_size_proxy_source_id,body_size_proxy_confidence,body_size_proxy_mm_phylofill,body_size_phylofill_mode,body_size_phylofill_usable,development_mode,development_source_id,development_confidence,development_mode_phylofill,development_phylofill_mode,development_phylofill_usable,aquaticity_index,aquaticity_index_phylofill,aquaticity_phylofill_mode,aquaticity_phylofill_usable,microhabitat_class,microhabitat_class_phylofill,microhabitat_phylofill_mode,microhabitat_phylofill_usable,lifestyle_source_id,lifestyle_confidence,elevation_mid_m,elevation_source_id,has_core_organismal_complete,has_core_organismal_mediumplus,has_core_organismal_phylofill,has_elevation,uses_total_length_body_proxy,uses_mixed_stage_body_proxy,is_low_confidence_body_proxy,is_low_confidence_lifestyle_proxy,n_core_traits_with_phylo_assistance,uses_any_phylo_assistance,organismal_source_ids,te_feature_source_ids,genome_source_id,morphology_source_id
amphileucus,True,True,True,True,True,True,True,15.3091,,sensitivity_limited,low_image_count; low_specimen_count,267.2352,41.9184,0.158309,1.3318273619013812,0.4896058027792815,14.842018075251318,0.6956201851821221,-0.0768471875828914,0.074598265103534,30.0,10.0,37.299132551767,30.39864103648492,24.378518007690847,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,99.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,99.5,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
anicetus,True,True,True,True,True,True,True,14.0824,,sensitivity_limited,low_image_count; low_specimen_count; no_analysis_ready_images,218.6352,39.5424,0.182894,1.213697324476945,0.4778614494029889,13.018938326598226,0.5474937765051844,-0.1616846549941235,0.0720531268331757,34.0,4.0,36.02656341658785,29.361502377007213,23.54677347489402,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,45.099,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,45.099,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
apalachicolae,True,True,True,True,True,True,False,14.6472,0.8208,caution,low_image_count; no_analysis_ready_images,253.2816,39.4128,0.15738,1.2373080165764587,0.4683886090100178,13.522389580743312,0.5701683501301361,-0.2134221059172521,0.0664780730178058,17.0,0.0,33.2390365089029,27.089679306359333,21.724860463335222,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,45.43,manual_svl_mean_all_specimens_mm,graham_timpe_laurencio_2010_auriculatus_decline,medium,45.43,observed_mediumplus,True,aquatic_larva,amphibio_2017,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,graham_timpe_laurencio_2010_auriculatus_decline,high,,,True,True,True,False,False,True,False,False,0,False,amphibio_2017;graham_timpe_laurencio_2010_auriculatus_decline,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
auriculatus,True,True,True,True,True,True,True,18.7061,,sensitivity_limited,low_image_count; low_specimen_count,246.708,46.1448,0.190768,1.445371491389308,0.4400057308762791,13.54636954144359,0.4832237998979086,-0.1271913200199015,0.0675641907796391,17.0,3.0,33.782095389819546,27.532270081352525,22.07980090837879,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,48.46,manual_svl_mean_all_specimens_mm,graham_timpe_laurencio_2010_auriculatus_decline,medium,48.46,observed_mediumplus,True,aquatic_larva,amphibio_2017,medium,aquatic_larva,observed_mediumplus,True,3.0,3.0,observed_mediumplus,True,swamp_coastal_plain,swamp_coastal_plain,observed_mediumplus,True,graham_timpe_laurencio_2010_auriculatus_decline,high,,,True,True,True,False,False,True,False,False,0,False,amphibio_2017;graham_timpe_laurencio_2010_auriculatus_decline,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
bairdi,True,True,True,True,True,True,True,17.4598,,sensitivity_limited,low_image_count; low_specimen_count; no_analysis_ready_images,270.6336,44.5968,0.165296,1.483416792763257,0.43355180286566,12.26912331520524,0.253233203333473,-0.2363897108342642,0.067379440672385,42.0,6.0,33.68972033619248,27.456984789072923,22.01942505633495,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,53.70100000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,53.70100000000001,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
campi,True,True,True,True,True,True,True,13.8906,0.5603,caution,low_image_count; no_analysis_ready_images,219.2544,37.4688,0.172732,1.3146192932702605,0.4637739178900549,12.900346756369972,0.4463815287706568,0.0257479588328357,0.0767597780700685,44.0,11.0,38.37988903503425,31.279453166287084,25.08489479414003,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,46.88800000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,46.88800000000001,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,nc_biodiversity_amphibians,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
fuscus,True,True,True,True,True,True,True,16.36,,sensitivity_limited,low_image_count; low_specimen_count,222.8688,43.704,0.197088,1.3747949743616583,0.4473238820496196,12.233228810924745,0.3229015213844728,-0.0309830266903211,0.0705803870140831,40.0,9.0,35.29019350704153,28.761363901419337,23.065485952314724,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,59.147,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,59.147,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
gvnigeusgwotli,True,True,True,True,True,True,True,14.0705,,sensitivity_limited,low_image_count; low_specimen_count; no_analysis_ready_images,244.9008,42.696,0.174858,1.3574616952717298,0.4884102355314311,14.753146766954538,0.6878059992469362,-0.1292633999070879,0.0673890318619744,33.0,5.0,33.694515930987194,27.46089317928867,22.022559432017776,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,100.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,100.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
intermedius,True,True,True,True,True,True,True,17.1847,,sensitivity_limited,low_image_count; low_specimen_count,242.064,43.344,0.176237,1.3223592026599122,0.4767724515437866,14.128487627275083,0.5907264918722783,0.5031703365139655,0.0692832559815024,28.0,7.0,34.64162799075122,28.232785648534005,22.641586922059624,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,56.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,56.5,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,high,aquatic_larva,observed_mediumplus,True,2.0,2.0,observed_mediumplus,True,stream_aquatic,stream_aquatic,observed_mediumplus,True,nc_biodiversity_amphibians,medium,900.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
kanawha,True,True,True,False,True,False,False,15.9361,1.5958,caution,low_image_count; no_analysis_ready_images,220.0464,41.976,0.18781,1.4409212677732457,0.4635598075403557,13.745200672963144,0.5605805702142418,,,,0.0,,,,,,,,82.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,82.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
