species,tree_tip,svl_mm,genome_size_pg,nucleus_area_um2,cell_area_um2,n_genome_nuclei,n_genome_images,n_size_cells,n_size_images
D. anicetus,anicetus,51,15.35796409,41.6952,244.1952,39,1,50,1
D. tilleyi,tilleyi,52,16.57793846,41.8536,264.4776,36,2,50,2
D. campi,campi,57,14.78187695,37.0728,257.4504,36,2,50,2
D. ocoee,ocoee,54,16.68828556,43.4448,293.1552,35,3,50,2
D. apalachicolae,apalachicolae,57,15.63681664,45.2016,299.5488,37,2,50,1
D. monticola,monticola,72,16.79820648,39.6072,260.0784,36,2,50,2
D. perlapsus,perlapsus,56,14.3560382,43.38,293.5512,33,3,50,1
D. brimleyorum,brimleyorum,75,17.01894476,45.1656,329.4,35,2,50,2
D. bairdi,bairdi,55,18.67444589,44.208,306.1368,37,1,50,1
D. valtos,valtos,62,22.56183477,49.968,314.1936,37,2,50,2
D. auriculatus,auriculatus,60,17.64411647,49.176,315.1368,36,2,50,1
D. fuscus,fuscus,72,16.36,46.944,272.808,35,4,50,3
D. welteri,welteri,75,14.9647715,48.708,304.5456,38,2,50,2
D. intermedius,intermedius,85,18.00255946,48.9384,325.2456,35,2,50,1
D. marmoratus,marmoratus,76,17.87005106,47.6064,274.9032,37,2,50,2
D. mavrokoilius,mavrokoilius,80,15.4763311,42.552,269.064,38,2,50,2
D. kanawha,kanawha,87,17.06725832,41.724,288.5904,34,2,50,2
D. amphileucus,amphileucus,122,17.35565806,44.4312,318.78,33,2,50,2
D. gvnigeusgwotli,gvnigeusgwotli,86,15.45333008,46.62,272.4192,37,1,50,1
D. folkertsi,folkertsi,89,16.9345877,44.8704,268.8408,37,2,50,2
